,gun,skin,rarity,quality,price,quantity
0,AK-47 , Point Disarray,Classified,Factory New, $ 45.05, 44
1,AK-47 , Point Disarray,Classified,Minimal Wear, $ 31.35, 81
2,AK-47 , Point Disarray,Classified,Field-Tested, $ 19.59, 122
3,AK-47 , Point Disarray,Classified,Well-Worn, $ 22.82, 17
4,AK-47 , Point Disarray,Classified,Battle-Scarred, $ 16.42, 40
5,AK-47 , Point Disarray,Classified, Factory New, $ 138, 12
6,AK-47 , Point Disarray,Classified, Minimal Wear, $ 75.98, 10
7,AK-47 , Point Disarray,Classified, Field-Tested, $ 48.79, 18
8,AK-47 , Point Disarray,Classified, Well-Worn, $ 51.19, 6
9,AK-47 , Point Disarray,Classified, Battle-Scarred, $ 34.07, 5
10,AK-47 , Blue Laminate,Restricted,Factory New, $ 8.45, 723
11,AK-47 , Blue Laminate,Restricted,Minimal Wear, $ 6.71, 828
12,AK-47 , Blue Laminate,Restricted,Field-Tested, $ 6.51, 619
13,AK-47 , Blue Laminate,Restricted,Well-Worn, $ 11.62, 71
14,AK-47 , Blue Laminate,Restricted, Factory New, $ 29.48, 186
15,AK-47 , Blue Laminate,Restricted, Minimal Wear, $ 22.26, 168
16,AK-47 , Blue Laminate,Restricted, Field-Tested, $ 21.41, 159
17,AK-47 , Blue Laminate,Restricted, Well-Worn, $ 27.07, 7
18,AK-47 , Vulcan,Covert,Factory New, $ 195, 24
19,AK-47 , Vulcan,Covert,Minimal Wear, $ 106.86, 64
20,AK-47 , Vulcan,Covert,Field-Tested, $ 49.16, 105
21,AK-47 , Vulcan,Covert,Well-Worn, $ 39.76, 21
22,AK-47 , Vulcan,Covert,Battle-Scarred, $ 28.46, 30
23,AK-47 , Vulcan,Covert, Factory New, $ 598.29, 5
24,AK-47 , Vulcan,Covert, Minimal Wear, $ 384.83, 8
25,AK-47 , Vulcan,Covert, Field-Tested, $ 156.29, 12
26,AK-47 , Vulcan,Covert, Well-Worn, $ 80.54, 5
27,AK-47 , Vulcan,Covert, Battle-Scarred, $ 67.55, 6
28,AK-47 , Emerald Pinstripe,Restricted,Factory New, $ 7.16, 200
29,AK-47 , Emerald Pinstripe,Restricted,Minimal Wear, $ 3.54, 534
30,AK-47 , Emerald Pinstripe,Restricted,Field-Tested, $ 2.25, 762
