,gun,skin,rarity,stattrak,quality,price,quantity
0,AK-47 , Point Disarray,Classified,0,Factory New, 45.05, 44
1,AK-47 , Point Disarray,Classified,0,Minimal Wear, 31.35, 81
2,AK-47 , Point Disarray,Classified,0,Field-Tested, 19.59, 122
3,AK-47 , Point Disarray,Classified,0,Well-Worn, 22.82, 17
4,AK-47 , Point Disarray,Classified,0,Battle-Scarred, 16.42, 40
5,AK-47 , Point Disarray,Classified,1, Factory New, 138, 12
6,AK-47 , Point Disarray,Classified,1, Minimal Wear, 75.98, 10
7,AK-47 , Point Disarray,Classified,1, Field-Tested, 48.79, 18
8,AK-47 , Point Disarray,Classified,1, Well-Worn, 51.19, 6
9,AK-47 , Point Disarray,Classified,1, Battle-Scarred, 34.07, 5
10,AK-47 , Blue Laminate,Restricted,0,Factory New, 8.45, 723
11,AK-47 , Blue Laminate,Restricted,0,Minimal Wear, 6.71, 828
12,AK-47 , Blue Laminate,Restricted,0,Field-Tested, 6.51, 619
13,AK-47 , Blue Laminate,Restricted,0,Well-Worn, 11.62, 71
14,AK-47 , Blue Laminate,Restricted,1, Factory New, 29.48, 186
15,AK-47 , Blue Laminate,Restricted,1, Minimal Wear, 22.26, 168
16,AK-47 , Blue Laminate,Restricted,1, Field-Tested, 21.41, 159
17,AK-47 , Blue Laminate,Restricted,1, Well-Worn, 27.07, 7
18,AK-47 , Vulcan,Covert,0,Factory New, 195, 24
19,AK-47 , Vulcan,Covert,0,Minimal Wear, 106.86, 64
20,AK-47 , Vulcan,Covert,0,Field-Tested, 49.16, 105
21,AK-47 , Vulcan,Covert,0,Well-Worn, 39.76, 21
22,AK-47 , Vulcan,Covert,0,Battle-Scarred, 28.46, 30
23,AK-47 , Vulcan,Covert,1, Factory New, 598.29, 5
24,AK-47 , Vulcan,Covert,1, Minimal Wear, 384.83, 8
25,AK-47 , Vulcan,Covert,1, Field-Tested, 156.29, 12
26,AK-47 , Vulcan,Covert,1, Well-Worn, 80.54, 5
27,AK-47 , Vulcan,Covert,1, Battle-Scarred, 67.55, 6
28,AK-47 , Emerald Pinstripe,Restricted,0,Factory New, 7.16, 200
29,AK-47 , Emerald Pinstripe,Restricted,0,Minimal Wear, 3.54, 534
30,AK-47 , Emerald Pinstripe,Restricted,0,Field-Tested, 2.25, 762
31,AK-47 , Emerald Pinstripe,Restricted,0,Well-Worn, 2.04, 573
32,AK-47 , Emerald Pinstripe,Restricted,0,Battle-Scarred, 2, 466
33,AK-47 , Jaguar,Covert,0,Factory New, 62.4, 13
34,AK-47 , Jaguar,Covert,0,Minimal Wear, 29.56, 40
35,AK-47 , Jaguar,Covert,0,Field-Tested, 23.34, 42
36,AK-47 , Jaguar,Covert,0,Well-Worn, 20.44, 37
37,AK-47 , Jaguar,Covert,0,Battle-Scarred, 19.26, 29
38,AK-47 , Jaguar,Covert,1, Factory New, 260.48, 6
39,AK-47 , Jaguar,Covert,1, Minimal Wear, 119.26, 7
40,AK-47 , Jaguar,Covert,1, Field-Tested, 70.55, 11
41,AK-47 , Jaguar,Covert,1, Well-Worn, 55.36, 1
42,AK-47 , Jaguar,Covert,1, Battle-Scarred, 52.68, 3
43,AK-47 , Safety Net,Restricted,0,Factory New, 18.99, 115
44,AK-47 , Safety Net,Restricted,0,Minimal Wear, 14.66, 138
45,AK-47 , Safety Net,Restricted,0,Field-Tested, 11.22, 195
46,AK-47 , Safety Net,Restricted,0,Well-Worn, 11.4, 19
47,AK-47 , Safety Net,Restricted,0,Battle-Scarred, 10.41, 40
48,AK-47 , Safety Net,Restricted,1, Factory New, 69.2, 11
49,AK-47 , Safety Net,Restricted,1, Minimal Wear, 32.86, 15
50,AK-47 , Safety Net,Restricted,1, Field-Tested, 23.03, 39
51,AK-47 , Safety Net,Restricted,1, Well-Worn, 27.45, 4
52,AK-47 , Safety Net,Restricted,1, Battle-Scarred, 23.08, 8
53,AK-47 , Cartel,Classified,0,Factory New, 14.51, 143
54,AK-47 , Cartel,Classified,0,Minimal Wear, 7.49, 212
55,AK-47 , Cartel,Classified,0,Field-Tested, 6.07, 329
56,AK-47 , Cartel,Classified,0,Well-Worn, 10.3, 33
57,AK-47 , Cartel,Classified,0,Battle-Scarred, 6.63, 103
58,AK-47 , Cartel,Classified,1, Factory New, 47.66, 32
59,AK-47 , Cartel,Classified,1, Minimal Wear, 27.71, 44
60,AK-47 , Cartel,Classified,1, Field-Tested, 22.26, 89
61,AK-47 , Cartel,Classified,1, Well-Worn, 24.62, 6
62,AK-47 , Cartel,Classified,1, Battle-Scarred, 22.71, 17
63,AK-47 , Black Laminate,Mil-Spec,0,Factory New, 83, 7
64,AK-47 , Black Laminate,Mil-Spec,0,Minimal Wear, 22.89, 150
65,AK-47 , Black Laminate,Mil-Spec,0,Field-Tested, 19.87, 147
66,AK-47 , Black Laminate,Mil-Spec,0,Well-Worn, 20.38, 21
67,AK-47 , Black Laminate,Mil-Spec,0,Battle-Scarred, 19.7, 23
68,AK-47 , Black Laminate,Mil-Spec,1, Factory New, 296.36, 3
69,AK-47 , Black Laminate,Mil-Spec,1, Minimal Wear, 32.55, 25
70,AK-47 , Black Laminate,Mil-Spec,1, Field-Tested, 20.33, 61
71,AK-47 , Black Laminate,Mil-Spec,1, Well-Worn, 21.01, 17
72,AK-47 , Black Laminate,Mil-Spec,1, Battle-Scarred, 22.24, 18
73,AK-47 , Hydroponic,Classified,0,Factory New, 519.58, 4
74,AK-47 , Hydroponic,Classified,0,Minimal Wear, 388.27, 6
75,AK-47 , Hydroponic,Classified,0,Field-Tested, 181.43, 16
76,AK-47 , Hydroponic,Classified,0,Well-Worn, 168.22, 2
77,AK-47 , Hydroponic,Classified,0,Battle-Scarred, 97.67, 6
78,AK-47 , Asiimov,Covert,0,Factory New, 170.52, 11
79,AK-47 , Asiimov,Covert,0,Minimal Wear, 54.13, 90
80,AK-47 , Asiimov,Covert,0,Field-Tested, 32.56, 191
81,AK-47 , Asiimov,Covert,0,Well-Worn, 36.86, 16
82,AK-47 , Asiimov,Covert,0,Battle-Scarred, 27.1, 44
83,AK-47 , Asiimov,Covert,1, Factory New, 718.32, 3
84,AK-47 , Asiimov,Covert,1, Minimal Wear, 148.27, 25
85,AK-47 , Asiimov,Covert,1, Field-Tested, 84.5, 24
86,AK-47 , Asiimov,Covert,1, Well-Worn, 81.34, 7
87,AK-47 , Asiimov,Covert,1, Battle-Scarred, 64.89, 12
88,AK-47 , First Class,Restricted,0,Factory New, 44.82, 16
89,AK-47 , First Class,Restricted,0,Minimal Wear, 31.01, 20
90,AK-47 , First Class,Restricted,0,Field-Tested, 22.57, 20
91,AK-47 , First Class,Restricted,0,Well-Worn, 20.12, 15
92,AK-47 , First Class,Restricted,0,Battle-Scarred, 21.07, 11
93,AK-47 , Bloodsport,Covert,0,Factory New, 66.05, 73
94,AK-47 , Bloodsport,Covert,0,Minimal Wear, 56.43, 78
95,AK-47 , Bloodsport,Covert,0,Field-Tested, 48.19, 81
96,AK-47 , Bloodsport,Covert,0,Well-Worn, 46.19, 18
97,AK-47 , Bloodsport,Covert,1, Factory New, 171.48, 24
98,AK-47 , Bloodsport,Covert,1, Minimal Wear, 137.5, 9
99,AK-47 , Bloodsport,Covert,1, Field-Tested, 117.3, 24
100,AK-47 , Bloodsport,Covert,1, Well-Worn, 117.22, 2
101,AK-47 , Wasteland Rebel,Covert,0,Factory New, 156.58, 7
102,AK-47 , Wasteland Rebel,Covert,0,Minimal Wear, 37.31, 38
103,AK-47 , Wasteland Rebel,Covert,0,Field-Tested, 29.23, 72
104,AK-47 , Wasteland Rebel,Covert,0,Well-Worn, 31.05, 11
105,AK-47 , Wasteland Rebel,Covert,0,Battle-Scarred, 26.86, 18
106,AK-47 , Wasteland Rebel,Covert,1, Factory New, 1280.67, 1
107,AK-47 , Wasteland Rebel,Covert,1, Minimal Wear, 250.58, 8
108,AK-47 , Wasteland Rebel,Covert,1, Field-Tested, 81.39, 8
109,AK-47 , Wasteland Rebel,Covert,1, Well-Worn, 85.74, 2
110,AK-47 , Wasteland Rebel,Covert,1, Battle-Scarred, 76.5, 3
111,AK-47 , Red Laminate,Classified,0,Factory New, 169.32, 4
112,AK-47 , Red Laminate,Classified,0,Minimal Wear, 25.57, 123
113,AK-47 , Red Laminate,Classified,0,Field-Tested, 18.69, 212
114,AK-47 , Red Laminate,Classified,0,Well-Worn, 17.48, 47
115,AK-47 , Red Laminate,Classified,0,Battle-Scarred, 17.76, 69
116,AK-47 , Red Laminate,Classified,1, Factory New, 1562.87, 1
117,AK-47 , Red Laminate,Classified,1, Minimal Wear, 108.52, 12
118,AK-47 , Red Laminate,Classified,1, Field-Tested, 70.58, 27
119,AK-47 , Red Laminate,Classified,1, Well-Worn, 72.74, 9
120,AK-47 , Red Laminate,Classified,1, Battle-Scarred, 62.35, 8
121,AK-47 , The Empress,Covert,0,Factory New, 123.02, 32
122,AK-47 , The Empress,Covert,0,Minimal Wear, 62.99, 52
123,AK-47 , The Empress,Covert,0,Field-Tested, 44.97, 120
124,AK-47 , The Empress,Covert,0,Well-Worn, 38.72, 58
125,AK-47 , The Empress,Covert,0,Battle-Scarred, 36.37, 80
126,AK-47 , The Empress,Covert,1, Factory New, 401.55, 11
127,AK-47 , The Empress,Covert,1, Minimal Wear, 170.82, 13
128,AK-47 , The Empress,Covert,1, Field-Tested, 119.4, 16
129,AK-47 , The Empress,Covert,1, Well-Worn, 93.61, 14
130,AK-47 , The Empress,Covert,1, Battle-Scarred, 86.8, 7
131,AK-47 , Fuel Injector,Covert,0,Factory New, 162.79, 13
132,AK-47 , Fuel Injector,Covert,0,Minimal Wear, 87.36, 25
133,AK-47 , Fuel Injector,Covert,0,Field-Tested, 58.12, 31
134,AK-47 , Fuel Injector,Covert,0,Well-Worn, 49.37, 26
135,AK-47 , Fuel Injector,Covert,0,Battle-Scarred, 41.72, 20
136,AK-47 , Fuel Injector,Covert,1, Factory New, 649.99, 1
137,AK-47 , Fuel Injector,Covert,1, Minimal Wear, 281.43, 4
138,AK-47 , Fuel Injector,Covert,1, Field-Tested, 176.36, 4
139,AK-47 , Fuel Injector,Covert,1, Well-Worn, 115, 2
140,AK-47 , Fuel Injector,Covert,1, Battle-Scarred, 106.06, 4
141,AK-47 , Uncharted,Mil-Spec,0,Factory New, 1.64, 631
142,AK-47 , Uncharted,Mil-Spec,0,Minimal Wear, 0.88, 2067
143,AK-47 , Uncharted,Mil-Spec,0,Field-Tested, 0.59, 5581
144,AK-47 , Uncharted,Mil-Spec,0,Well-Worn, 1.01, 253
145,AK-47 , Uncharted,Mil-Spec,0,Battle-Scarred, 0.58, 1270
146,AK-47 , Uncharted,Mil-Spec,1, Factory New, 7.49, 163
147,AK-47 , Uncharted,Mil-Spec,1, Minimal Wear, 4.28, 235
148,AK-47 , Uncharted,Mil-Spec,1, Field-Tested, 3.26, 447
149,AK-47 , Uncharted,Mil-Spec,1, Well-Worn, 4.65, 43
150,AK-47 , Uncharted,Mil-Spec,1, Battle-Scarred, 3.36, 180
151,AK-47 , Orbit Mk01,Restricted,0,Factory New, 14.98, 109
152,AK-47 , Orbit Mk01,Restricted,0,Minimal Wear, 12.35, 139
153,AK-47 , Orbit Mk01,Restricted,0,Field-Tested, 10.84, 183
154,AK-47 , Orbit Mk01,Restricted,0,Well-Worn, 13.47, 31
155,AK-47 , Orbit Mk01,Restricted,0,Battle-Scarred, 11.76, 39
156,AK-47 , Orbit Mk01,Restricted,1, Factory New, 44.9, 22
157,AK-47 , Orbit Mk01,Restricted,1, Minimal Wear, 34.7, 24
158,AK-47 , Orbit Mk01,Restricted,1, Field-Tested, 28.49, 40
159,AK-47 , Orbit Mk01,Restricted,1, Well-Worn, 33.53, 3
160,AK-47 , Orbit Mk01,Restricted,1, Battle-Scarred, 29.44, 12
161,AK-47 , Case Hardened,Classified,0,Factory New, 140.23, 55
162,AK-47 , Case Hardened,Classified,0,Minimal Wear, 81.84, 129
163,AK-47 , Case Hardened,Classified,0,Field-Tested, 70.27, 176
164,AK-47 , Case Hardened,Classified,0,Well-Worn, 57.99, 77
165,AK-47 , Case Hardened,Classified,0,Battle-Scarred, 55.2, 68
166,AK-47 , Case Hardened,Classified,1, Factory New, 421.42, 6
167,AK-47 , Case Hardened,Classified,1, Minimal Wear, 264.5, 13
168,AK-47 , Case Hardened,Classified,1, Field-Tested, 173.46, 13
169,AK-47 , Case Hardened,Classified,1, Well-Worn, 144.61, 15
170,AK-47 , Case Hardened,Classified,1, Battle-Scarred, 137, 10
171,AK-47 , Aquamarine Revenge,Covert,0,Factory New, 69, 35
172,AK-47 , Aquamarine Revenge,Covert,0,Minimal Wear, 42.57, 63
173,AK-47 , Aquamarine Revenge,Covert,0,Field-Tested, 29, 76
174,AK-47 , Aquamarine Revenge,Covert,0,Well-Worn, 24.78, 58
175,AK-47 , Aquamarine Revenge,Covert,0,Battle-Scarred, 20.28, 51
176,AK-47 , Aquamarine Revenge,Covert,1, Factory New, 195.36, 11
177,AK-47 , Aquamarine Revenge,Covert,1, Minimal Wear, 105, 13
178,AK-47 , Aquamarine Revenge,Covert,1, Field-Tested, 73.9, 18
179,AK-47 , Aquamarine Revenge,Covert,1, Well-Worn, 50.28, 9
180,AK-47 , Aquamarine Revenge,Covert,1, Battle-Scarred, 48.44, 9
181,AK-47 , Neon Revolution,Covert,0,Factory New, 61.88, 48
182,AK-47 , Neon Revolution,Covert,0,Minimal Wear, 33.94, 76
183,AK-47 , Neon Revolution,Covert,0,Field-Tested, 23.57, 208
184,AK-47 , Neon Revolution,Covert,0,Well-Worn, 31.42, 12
185,AK-47 , Neon Revolution,Covert,0,Battle-Scarred, 22.8, 53
186,AK-47 , Neon Revolution,Covert,1, Factory New, 190.36, 11
187,AK-47 , Neon Revolution,Covert,1, Minimal Wear, 92.7, 10
188,AK-47 , Neon Revolution,Covert,1, Field-Tested, 63.42, 13
189,AK-47 , Neon Revolution,Covert,1, Well-Worn, 62.18, 7
190,AK-47 , Neon Revolution,Covert,1, Battle-Scarred, 51.89, 12
191,AK-47 , Jet Set,Classified,0,Factory New, 439.94, 4
192,AK-47 , Jet Set,Classified,0,Minimal Wear, 108.86, 5
193,AK-47 , Jet Set,Classified,0,Field-Tested, 92.38, 8
194,AK-47 , Jet Set,Classified,0,Well-Worn, 64.99, 6
195,AK-47 , Jet Set,Classified,0,Battle-Scarred, 60.18, 13
196,AK-47 , Redline,Classified,0,Minimal Wear, 54.25, 126
197,AK-47 , Redline,Classified,0,Field-Tested, 15.1, 1120
198,AK-47 , Redline,Classified,0,Well-Worn, 15.55, 104
199,AK-47 , Redline,Classified,0,Battle-Scarred, 9.57, 156
200,AK-47 , Redline,Classified,1, Minimal Wear, 180.5, 18
201,AK-47 , Redline,Classified,1, Field-Tested, 41.72, 171
202,AK-47 , Redline,Classified,1, Well-Worn, 36.37, 21
203,AK-47 , Redline,Classified,1, Battle-Scarred, 21.22, 36
204,AK-47 , Phantom Disruptor,Classified,0,Factory New, 33.01, 45
205,AK-47 , Phantom Disruptor,Classified,0,Minimal Wear, 24.95, 97
206,AK-47 , Phantom Disruptor,Classified,0,Field-Tested, 18.37, 199
207,AK-47 , Phantom Disruptor,Classified,0,Well-Worn, 19.8, 26
208,AK-47 , Phantom Disruptor,Classified,0,Battle-Scarred, 13.72, 44
209,AK-47 , Phantom Disruptor,Classified,1, Factory New, 96.79, 19
210,AK-47 , Phantom Disruptor,Classified,1, Minimal Wear, 66.2, 18
211,AK-47 , Phantom Disruptor,Classified,1, Field-Tested, 46.48, 29
212,AK-47 , Phantom Disruptor,Classified,1, Well-Worn, 46.65, 7
213,AK-47 , Phantom Disruptor,Classified,1, Battle-Scarred, 29.99, 15
214,AK-47 , Safari Mesh,Industrial,0,Factory New, 3.63, 183
215,AK-47 , Safari Mesh,Industrial,0,Minimal Wear, 0.52, 3342
216,AK-47 , Safari Mesh,Industrial,0,Field-Tested, 0.19, 21778
217,AK-47 , Safari Mesh,Industrial,0,Well-Worn, 0.29, 2221
218,AK-47 , Safari Mesh,Industrial,0,Battle-Scarred, 0.19, 4308
219,AK-47 , Safari Mesh,Industrial,1, Factory New, 106.6, 4
220,AK-47 , Safari Mesh,Industrial,1, Minimal Wear, 11.31, 88
221,AK-47 , Safari Mesh,Industrial,1, Field-Tested, 6.33, 169
222,AK-47 , Safari Mesh,Industrial,1, Well-Worn, 6.6, 34
223,AK-47 , Safari Mesh,Industrial,1, Battle-Scarred, 7.06, 67
224,AK-47 , Predator,Consumer,0,Factory New, 22.58, 13
225,AK-47 , Predator,Consumer,0,Minimal Wear, 4.63, 179
226,AK-47 , Predator,Consumer,0,Field-Tested, 3.97, 301
227,AK-47 , Predator,Consumer,0,Well-Worn, 4.3, 95
228,AK-47 , Predator,Consumer,0,Battle-Scarred, 4.2, 141
229,AK-47 , Frontside Misty,Classified,0,Factory New, 50.63, 20
230,AK-47 , Frontside Misty,Classified,0,Minimal Wear, 24.95, 126
231,AK-47 , Frontside Misty,Classified,0,Field-Tested, 16.99, 351
232,AK-47 , Frontside Misty,Classified,0,Well-Worn, 17.55, 61
233,AK-47 , Frontside Misty,Classified,0,Battle-Scarred, 14.45, 102
234,AK-47 , Frontside Misty,Classified,1, Factory New, 141.45, 4
235,AK-47 , Frontside Misty,Classified,1, Minimal Wear, 60, 18
236,AK-47 , Frontside Misty,Classified,1, Field-Tested, 39.99, 47
237,AK-47 , Frontside Misty,Classified,1, Well-Worn, 36.76, 13
